Stochastic,Momentum,Wiliams,ADI,EMA,MACD,RSI,OBV,BB_BBM,BB_BBH,BB_BBL,ATR
86.78185745,236.8327353,-13.21814255,1225550.42,28876.78754,133.5345601,55.39490411,535353.6668,28853.1485,29321.75856,28384.53844,378.7180858
96.29567901,248.0212647,-3.704320988,1229681.093,28947.8812,164.9228487,62.20746155,540756.7353,28875.038,29401.21157,28348.86443,388.0703654
83.00308642,263.3703824,-16.99691358,1228327.545,28980.78371,170.4572303,57.31422767,538372.5037,28891.82,29435.98089,28347.65911,385.0103393
85.89880405,277.9577353,-14.10119595,1228595.46,29020.46588,179.5316635,58.67568474,539833.8488,28897.9775,29456.51949,28339.43551,373.0081722
78.45642796,307.0286176,-21.54357204,1228685.879,29047.11176,179.9613571,57.31030096,537795.802,28912.6775,29488.63227,28336.72273,372.479017
75.58326143,352.4733824,-24.41673857,1229217.093,29065.76486,175.5907597,56.49866312,536325.8457,28922.5285,29510.05888,28334.99812,356.6712301
73.316787,333.1692059,-26.683213,1229227.269,29080.24288,169.1555537,56.17295319,534905.1194,28924.4215,29514.93359,28333.90941,344.9575708
63.92236762,267.3772059,-36.07763238,1230382.902,29081.92116,155.683007,54.01366011,532524.9385,28933.548,29528.53015,28338.56585,347.8491729
39.7317364,212.2536765,-60.2682636,1230052.903,29070.99967,135.9489832,51.58231161,530516.7728,28952.6685,29530.12862,28375.20838,344.8449463
65.66046446,186.7600588,-34.33953554,1230811.421,29088.49438,135.0684918,56.20690463,532538.8288,28986.829,29537.85799,28435.80001,344.3367358
68.43158124,199.7815,-31.56841876,1230303.216,29106.5378,134.5632807,56.68309996,534483.0846,29029.4445,29510.98171,28547.90729,333.461969
79.93024121,207.1838824,-20.06975879,1230448.598,29134.13143,139.7871377,58.69037918,536792.3124,29056.619,29537.86566,28575.37234,323.2239712
59.71665036,262.3780588,-40.28334964,1227812.163,29147.37924,135.905121,56.18872598,532600.3972,29099.2635,29472.33248,28726.19452,332.2794018
85.13898201,312.4217941,-14.86101799,1229938.121,29189.70067,149.7661607,61.32200083,534811.6955,29143.9045,29463.78483,28824.02417,327.8308731
65.69959418,352.6970294,-34.30040582,1228547.171,29208.11925,147.9944264,57.05910538,532199.0233,29166.684,29470.41912,28862.94888,323.2608107
48.15995765,335.4469118,-51.84004235,1228209.858,29205.52602,133.8178889,53.02508566,529419.9594,29181.226,29458.80361,28903.64839,325.9464671
62.26274796,314.1917941,-37.73725204,1228946.398,29218.19855,130.1124207,55.73492419,530910.2889,29189.9195,29470.99067,28908.84833,319.4502909
34.4188743,264.9157353,-65.5811257,1228215.728,29199.72407,108.1024679,49.64562031,528405.3118,29195.5835,29462.62137,28928.54563,325.4009844
45.94178977,187.9336765,-54.05821023,1229950.771,29182.78753,89.07264765,49.46280673,524178.8818,29194.1765,29463.48322,28924.86978,347.5444855
41.46581508,109.5639118,-58.53418492,1229790.562,29162.28786,69.66532243,48.25884312,522549.653,29199.447,29450.90262,28947.99138,335.2427366
58.73409676,93.65926471,-41.26590324,1230529.672,29166.98015,67.1030554,53.01086308,525187.8124,29209.5645,29442.95721,28976.17179,339.3011125
75.3411316,88.22441176,-24.6588684,1231910.452,29192.64546,77.25315325,57.09223071,527079.8097,29207.0385,29432.66405,28981.41295,336.4938902
71.68633321,118.8614706,-28.31366679,1230292.814,29210.1354,81.48125666,55.94065679,525374.9795,29213.497,29444.66129,28982.33271,323.1007552
74.57018956,162.6722353,-25.42981044,1230887.873,29229.04401,86.10930056,56.68310641,526533.0213,29217.1745,29454.60702,28979.74198,308.9964155
