Open,High,Low,Close,Volume,date
28923.63,29031.34,28690.17,28995.13,2311.811445,2021-01-01T00:00
28995.13,29470,28960.35,29409.99,5403.068471,2021-01-01T01:00
29410,29465.26,29120.03,29194.65,2384.23156,2021-01-01T02:00
29195.25,29367,29150.02,29278.4,1461.345077,2021-01-01T03:00
29278.41,29395,29029.4,29220.31,2038.046803,2021-01-01T04:00
29220.31,29235.28,29084.11,29187.01,1469.956262,2021-01-01T05:00
29187.01,29270,29077.32,29174.35,1420.726291,2021-01-01T06:00
29174.35,29191.98,28806.54,29092.83,2380.180918,2021-01-01T07:00
29092.84,29178.03,28872.24,29000.01,2008.165739,2021-01-01T08:00
29000.01,29307.73,28970,29202.21,2022.056022,2021-01-01T09:00
29202.21,29344.97,29152.88,29223.82,1944.255841,2021-01-01T10:00
29223.82,29402.57,29212.44,29313.49,2309.227717,2021-01-01T11:00
29313.49,29600,29150,29233.49,4191.915161,2021-01-01T12:00
29233.49,29470,29200,29464.79,2211.29829,2021-01-01T13:00
29464.79,29530,29266.15,29327.84,2612.67217,2021-01-01T14:00
29327.83,29391,29030.14,29188.67,2779.063894,2021-01-01T15:00
29188.67,29360,29125,29300.57,1490.329484,2021-01-01T16:00
29300.79,29339.76,28937,29079.64,2504.977099,2021-01-01T17:00
29077.59,29259.98,28624.57,29072.7,4226.430041,2021-01-01T18:00
29072.7,29125.32,28950,29029.04,1629.228721,2021-01-01T19:00
29331.7,29338.59,28946.53,29197.48,2638.159379,2021-01-02T00:00
29197.93,29400,29100,29359.47,1891.997249,2021-01-02T01:00
29359.46,29469,29320.01,29323.82,1704.830137,2021-01-02T02:00
29323.82,29382.49,29256.85,29351.95,1158.041761,2021-01-02T03:00
29351.95,29396,29220,29349.63,988.71107,2021-01-02T04:00
29349.63,29590,29349.63,29589.99,2778.878231,2021-01-02T05:00
29589.99,29745,29450,29709.07,3030.24082,2021-01-02T06:00
29709.06,29820.5,29623.31,29750,3067.812724,2021-01-02T07:00
29751.47,29849.11,29640,29844.51,2358.088241,2021-01-02T08:00
29844.52,29899,29578.05,29612.87,3188.497375,2021-01-02T09:00
29612.88,29829,29473.91,29680.99,2315.182337,2021-01-02T10:00
29679.51,29780.53,29622.79,29755,1365.036655,2021-01-02T11:00
29754.99,30888,29741.39,30604.03,12772.56604,2021-01-02T12:00
30604.03,31561.87,30521,31541.17,9182.429703,2021-01-02T13:00
31546.06,31567.89,31065,31290.53,6447.783897,2021-01-02T14:00
31290.53,31800,31236.37,31691.29,5626.193755,2021-01-02T15:00
31691.09,33000,31616.42,32482.28,15432.28519,2021-01-02T16:00
32484.28,32935,32394.77,32856.96,6402.180701,2021-01-02T17:00
32856.95,33300,32421,32999.98,7170.295412,2021-01-02T18:00
32999.98,33220,32690,33027.2,5844.856499,2021-01-02T19:00
33027.2,33061.37,30550,30667.22,15733.28311,2021-01-02T20:00
30669.43,32005.94,30300,31694.59,10395.12064,2021-01-02T21:00
31693.53,32311.92,31424.96,32145.66,3879.062094,2021-01-02T22:00
32143.53,32246.67,31500,32178.33,4622.340338,2021-01-02T23:00
32176.45,32497.8,31962.99,32447.94,3346.062141,2021-01-03T00:00
32447.95,32790.07,32201,32585.09,3401.152207,2021-01-03T01:00
32583.04,32884.09,32550,32741.67,2017.209759,2021-01-03T02:00
32741.68,32756,32404,32573.87,2125.8788,2021-01-03T03:00
32576.11,33250,32450,33192.53,3436.070984,2021-01-03T04:00
33192.53,34180,33109.44,33758.67,10355.07032,2021-01-03T05:00
33758.67,34110.05,33651.12,33967.13,4526.910974,2021-01-03T06:00
33967.13,34778.11,33737.19,34452.34,7968.074023,2021-01-03T07:00
34451.78,34670.41,33757.29,34367.68,6146.774112,2021-01-03T08:00
34367.35,34588.88,33800,34190.55,6052.678972,2021-01-03T09:00
34189.98,34350,33403,33877.96,6335.226642,2021-01-03T10:00
33877.96,34450,33787.55,34413.53,4116.853141,2021-01-03T11:00
34413.53,34600,33928.75,34103.72,4546.283481,2021-01-03T12:00
34103.73,34385.02,33800,33880,4373.738376,2021-01-03T13:00
33877.98,34150,33450,33811.54,5928.805563,2021-01-03T14:00
33811.54,33873.45,32727,33506.62,8391.249757,2021-01-03T15:00
33505.15,33822.69,32650,32676.74,7983.739125,2021-01-03T16:00
32676.75,33333.33,32454.73,32909.27,7447.809163,2021-01-03T17:00
32907.51,33031.57,32267,32769.76,4707.199943,2021-01-03T18:00
32769.79,32930,32455.71,32772.21,2288.439412,2021-01-03T19:00
32775.1,33816,32727.1,33726.21,5420.678183,2021-01-03T20:00
33725.72,33861.92,33506,33558.34,2123.067992,2021-01-03T21:00
33559.06,33661.1,33000,33119.14,2841.033093,2021-01-03T22:00
33119.14,33600,32600,33000.05,5077.560592,2021-01-03T23:00
33000.05,33111.44,32400.25,32843.88,4792.206831,2021-01-04T00:00
32843.89,33327,32602.47,33191.04,3390.023872,2021-01-04T01:00
33191.05,33588,32958.38,33454.22,3180.350783,2021-01-04T02:00
33454.21,33510.71,33160,33505.16,3174.209134,2021-01-04T03:00
33505.15,33600,33186.14,33257.55,3167.029273,2021-01-04T04:00
33257.56,33315.9,32802.25,32813.01,3990.70088,2021-01-04T05:00
32813.01,33408,32813,33100.02,4768.764928,2021-01-04T06:00
33100.02,33148.69,31505,32068.84,9472.376828,2021-01-04T07:00
32068.84,32567.88,31450,32045.14,6529.253248,2021-01-04T08:00
32045.15,32152.15,30248.85,31038.63,11271.89653,2021-01-04T09:00
31038.35,31227.33,28130,30270.76,19376.83118,2021-01-04T10:00
30270.76,30900.2,29400,30743.06,9413.490067,2021-01-04T11:00
30742.99,31434.07,30454.25,31219.02,8316.880828,2021-01-04T12:00
31219.03,31400,30600,31400,5474.654787,2021-01-04T13:00
31400,32167.93,31400,32113.68,7479.383587,2021-01-04T14:00
32113.68,32185.67,31550,31745.72,5321.620251,2021-01-04T15:00
31745.71,31920,30723,31320.31,8174.285783,2021-01-04T16:00
31320.3,31523.01,30626.36,31024.17,4962.562729,2021-01-04T17:00
31022.25,31465.44,31001,31165.16,3361.43987,2021-01-04T18:00
31165.16,31855.75,31104.99,31665.51,3388.372221,2021-01-04T19:00
31665.52,31830.95,31210,31244.97,2850.963087,2021-01-04T20:00
31244.97,31579,30856.08,31014.27,3202.456127,2021-01-04T21:00
31014.27,31474.78,30950,31332.05,1646.484138,2021-01-04T22:00
31332.05,32031.01,31150,31988.71,4193.648728,2021-01-04T23:00
31190.04,31538.45,30418,30858.98,7229.486366,2021-01-05T04:00
30858.98,31366.16,29900,30436.25,6366.976124,2021-01-05T05:00
30436.26,31270.43,29900,31123.25,6611.210735,2021-01-05T06:00
31123.25,31312.03,30759.47,30817.77,2811.383953,2021-01-05T07:00
30817.78,31522.19,30817.78,31192.09,3237.120957,2021-01-05T08:00
31192.16,31821.94,31157.9,31569.63,3935.597979,2021-01-05T09:00
31569.63,31687.11,31088.33,31345.77,3174.760396,2021-01-05T10:00
31347.73,31777,31284.15,31776.66,2908.121768,2021-01-05T11:00
31776.66,32057.13,31563.84,31585.01,4161.551334,2021-01-05T12:00
31585,31900,31416.27,31460.01,2523.023165,2021-01-05T13:00
31460.11,32375.07,31111.78,32342.33,5942.102854,2021-01-05T14:00
32343.61,32374.31,31929.41,32099.98,3616.599016,2021-01-05T15:00
32099.97,32670,31763.23,32469.9,4926.171616,2021-01-05T16:00
32469.9,32790,32254.18,32742.73,3599.645718,2021-01-05T17:00
32742.73,33433.55,32650.03,33372.84,6647.009921,2021-01-05T18:00
33372.83,34187.09,33098.82,33697.75,8659.338503,2021-01-05T19:00
33693.8,34044.13,33318,33969.17,5800.653907,2021-01-05T20:00
33968.66,33996.03,33471.94,33699.63,3682.074151,2021-01-05T21:00
33699.63,34360,33695.6,34183.42,4616.403334,2021-01-05T22:00
34183.43,34284.91,33650,33949.53,4787.686641,2021-01-05T23:00
33949.53,34107.59,33288,33918.01,6106.351924,2021-01-06T00:00
33918.01,34018.93,33513.05,33811.28,3237.659354,2021-01-06T01:00
33811.28,34135.84,33768.32,33873.3,3252.254556,2021-01-06T02:00
33873.3,34170,33652,34117.59,3183.088045,2021-01-06T03:00
34116.76,35766.58,34109.83,35325.91,12735.41763,2021-01-06T04:00
35326.82,35590,34510,34978.91,5595.783676,2021-01-06T05:00
34977.27,35229.1,34782.44,35125.51,3923.026403,2021-01-06T06:00
35125.49,35248.63,34350,34676.4,3898.737284,2021-01-06T07:00
34666.8,34950.77,34015,34594.28,5094.759196,2021-01-06T08:00
34596.08,34607.69,33357.9,33919.5,5753.91297,2021-01-06T09:00
33919.5,34550,33834.61,34417.36,3851.574259,2021-01-06T10:00
34417.37,35200,34342.87,34918.53,6362.804142,2021-01-06T11:00
34918.54,35088,34415.61,34929.87,4569.514665,2021-01-06T12:00
34929.87,35050,34300,34550,4296.272331,2021-01-06T13:00
34549.99,34593.5,34052.42,34213.46,5728.368095,2021-01-06T14:00
34213.58,34790,34150,34566.19,4050.156848,2021-01-06T15:00
34566.18,35076.42,34372.92,34612.41,6142.986291,2021-01-06T16:00
34615.98,35057.81,34562,34898.52,3410.29344,2021-01-06T17:00
34898.52,35245,34894.22,35215.75,3704.008481,2021-01-06T18:00
35215.75,35695,34652.6,34816.72,5619.207768,2021-01-06T19:00
34818.95,36250,34280,36015.88,10922.41272,2021-01-06T20:00
36015.16,36470,35650,35874.16,7481.324348,2021-01-06T21:00
